model,noise,type,PSNR,MSE
AE,gau50,denoised,30.45284056,0.000900982
AE,gau50,original,15.62862604,0.027361342
AE,gau50,denoised,30.66991043,0.000857056
AE,gau50,original,15.70291311,0.0268973
AE,gau50,denoised,30.00581249,0.000998663
AE,gau50,original,15.79543519,0.026330341
AE,gau50,denoised,30.95608626,0.000802401
AE,gau50,original,15.86297091,0.025924054
AE,gau50,denoised,31.04399659,0.000786322
AE,gau50,original,15.96771804,0.025306273
AE,gau50,denoised,30.45105615,0.000901352
AE,gau50,original,15.62616922,0.027376825
AE,gau50,denoised,25.08681729,0.00309969
AE,gau50,original,16.17467299,0.024128632
AE,gau50,denoised,30.22392953,0.000949745
AE,gau50,original,15.74521724,0.026636569
AE,gau50,denoised,26.00794266,0.002507297
AE,gau50,original,15.74365702,0.02664614
AE,gau50,denoised,27.10013524,0.001949784
AE,gau50,original,15.65111902,0.027219999
AE,gau50,denoised,28.23015523,0.001503088
AE,gau50,original,15.5463114,0.027884885
AE,gau50,denoised,29.1007021,0.00123007
AE,gau50,original,15.49227416,0.028234011
AE,gau50,denoised,29.22127496,0.001196389
AE,gau50,original,15.4704371,0.028376334
AE,gau50,denoised,29.20379875,0.001201213
AE,gau50,original,15.52094357,0.028048242
AE,gau50,denoised,28.62595062,0.001372161
AE,gau50,original,15.60118143,0.027534796
AE,gau50,denoised,27.31750345,0.001854597
AE,gau50,original,15.28214691,0.029633661
AE,gau50,denoised,27.81721088,0.001653023
AE,gau50,original,15.32541187,0.029339912
AE,gau50,denoised,28.11745024,0.001542606
AE,gau50,original,15.31269926,0.029425922
AE,gau50,denoised,28.35895518,0.001459165
AE,gau50,original,15.31891862,0.029383812
AE,gau50,denoised,28.03767715,0.001571203
AE,gau50,original,15.38739031,0.028924174
AE,gau50,denoised,29.10079914,0.001230042
AE,gau50,original,15.3379298,0.029255466
AE,gau50,denoised,29.62325895,0.001090622
AE,gau50,original,15.39713051,0.028859377
AE,gau50,denoised,29.71525768,0.001067761
AE,gau50,original,15.45484446,0.028478398
AE,gau50,denoised,29.91677393,0.001019348
AE,gau50,original,15.49440577,0.028220157
AE,gau50,denoised,29.87904836,0.001028242
AE,gau50,original,15.58608964,0.027630646
AE,gau50,denoised,29.82583421,0.001040918
AE,gau50,original,15.67708343,0.027057749
AE,gau50,denoised,26.47667929,0.002250775
AE,gau50,original,15.67738837,0.027055849
AE,gau50,denoised,30.27968023,0.000937631
AE,gau50,original,15.55830143,0.027808007
AE,gau50,denoised,26.51078268,0.00223317
AE,gau50,original,15.62435271,0.027388278
AE,gau50,denoised,28.18480403,0.001518866
AE,gau50,original,15.50241425,0.028168166
AE,gau50,denoised,28.22764477,0.001503957
AE,gau50,original,15.48575005,0.028276457
AE,gau50,denoised,27.4328603,0.001805984
AE,gau50,original,15.55136262,0.027852471
AE,gau50,denoised,28.01631654,0.00157895
AE,gau50,original,15.54529865,0.027891389
AE,gau50,denoised,27.80573839,0.001657396
AE,gau50,original,15.45937916,0.028448678
AE,gau50,denoised,27.5404352,0.001761799
AE,gau50,original,15.60874226,0.027486901
AE,gau50,denoised,25.04758982,0.003127815
AE,gau50,original,15.38182047,0.028961293
AE,gau50,denoised,28.15230579,0.001530275
AE,gau50,original,15.28766726,0.029596017
AE,gau50,denoised,28.11419169,0.001543764
AE,gau50,original,15.38385438,0.028947733
AE,gau50,denoised,29.13703309,0.001219823
AE,gau50,original,15.41211233,0.028759992
AE,gau50,denoised,30.01771857,0.000995928
AE,gau50,original,15.40906066,0.028780208
AE,gau50,denoised,29.88021621,0.001027965
AE,gau50,original,15.49527237,0.028214526
AE,gau50,denoised,30.96474138,0.000800803
AE,gau50,original,15.59491777,0.027574537
AE,gau50,denoised,31.44503676,0.000716962
AE,gau50,original,15.67304738,0.027082906
AE,gau50,denoised,31.79224783,0.000661874
AE,gau50,original,15.77110571,0.026478259
AE,gau50,denoised,31.44849288,0.000716392
AE,gau50,original,15.9456625,0.025435118
AE,gau50,denoised,31.73265699,0.000671018
AE,gau50,original,15.60476209,0.027512103
AE,gau50,denoised,26.31064061,0.002338492
AE,gau50,original,16.01594424,0.025026815
AE,gau50,denoised,31.73346944,0.000670893
AE,gau50,original,15.54915629,0.027866625
AE,gau50,denoised,26.74618859,0.002115345
AE,gau50,original,15.39434077,0.028877921
AE,gau50,denoised,26.72116983,0.002127566
AE,gau50,original,15.43011851,0.028640998
AE,gau50,denoised,28.23407065,0.001501734
AE,gau50,original,15.3090861,0.029450413
AE,gau50,denoised,28.32141752,0.001471832
AE,gau50,original,15.29658326,0.02953532
AE,gau50,denoised,28.53125737,0.001402408
AE,gau50,original,15.30480229,0.029479477
AE,gau50,denoised,28.5485109,0.001396847
AE,gau50,original,15.25965717,0.029787516
AE,gau50,denoised,27.7810959,0.001666827
AE,poi50,original,14.07723955,0.03910894
AE,poi50,denoised,27.19187772,0.001909028
AE,poi50,original,14.186668,0.03813583
AE,poi50,denoised,28.15634387,0.001528853
AE,poi50,original,14.15029408,0.038456574
AE,poi50,denoised,28.35021505,0.001462105
AE,poi50,original,14.20995816,0.037931864
AE,poi50,denoised,28.66335749,0.001360393
AE,poi50,original,14.20364085,0.03798708
AE,poi50,denoised,29.09877543,0.001230616
AE,poi50,original,14.2131576,0.03790393
AE,poi50,denoised,29.3398202,0.001164174
AE,poi50,original,14.23452037,0.03771794
AE,poi50,denoised,30.10099332,0.000977014
AE,poi50,original,14.19300574,0.038080218
AE,poi50,denoised,30.38010455,0.000916198
AE,poi50,original,14.222519,0.037822314
AE,poi50,denoised,31.07797201,0.000780194
AE,poi50,original,14.20934555,0.037937215
AE,poi50,denoised,31.83871849,0.000654829
AE,poi50,original,14.19132534,0.038094955
AE,poi50,denoised,32.3765791,0.000578552
AE,poi50,original,14.09401203,0.038958192
AE,poi50,denoised,27.67749257,0.001707068
AE,poi50,original,14.1557108,0.038408639
AE,poi50,denoised,33.0754067,0.00049256
AE,poi50,original,14.06394113,0.039228878
AE,poi50,denoised,27.89267471,0.001624548
AE,poi50,original,14.13462269,0.038595594
AE,poi50,denoised,28.49362238,0.001414613
AE,poi50,original,14.12173753,0.038710274
AE,poi50,denoised,29.38138878,0.001153084
AE,poi50,original,14.13508096,0.038591522
AE,poi50,denoised,29.41999516,0.00114288
AE,poi50,original,14.09981112,0.038906207
AE,poi50,denoised,29.80090202,0.001046911
AE,poi50,original,14.17451527,0.038242694
AE,poi50,denoised,28.70802609,0.001346472
AE,poi50,original,14.1879546,0.038124534
AE,poi50,denoised,28.31894496,0.00147267
AE,poi50,original,14.14166291,0.038533079
AE,poi50,denoised,28.01189883,0.001580557
AE,poi50,original,14.19040468,0.038103032
AE,poi50,denoised,30.7174141,0.000847732
AE,poi50,original,14.19078249,0.038099717
AE,poi50,denoised,31.23167448,0.000753065
AE,poi50,original,14.19996496,0.038019246
AE,poi50,denoised,30.863817,0.000819631
AE,poi50,original,14.2072851,0.037955218
AE,poi50,denoised,29.84016604,0.001037489
AE,poi50,original,14.18211572,0.038175825
AE,poi50,denoised,29.82272313,0.001041664
AE,poi50,original,14.1814794,0.038181419
AE,poi50,denoised,30.43098153,0.000905528
AE,poi50,original,14.20987556,0.037932585
AE,poi50,denoised,31.76008892,0.000666793
AE,poi50,original,14.18550683,0.038146027
AE,poi50,denoised,32.2432779,0.000596585
AE,poi50,original,14.18601464,0.038141567
AE,poi50,denoised,32.46636449,0.000566713
AE,poi50,original,14.19133016,0.038094913
AE,poi50,denoised,33.05815219,0.000494521
AE,poi50,original,14.15128938,0.038447762
AE,poi50,denoised,27.33391697,0.001847601
AE,poi50,original,14.24932203,0.037589608
AE,poi50,denoised,32.15933859,0.000608228
AE,poi50,original,14.08871543,0.039005734
AE,poi50,denoised,27.75590293,0.001676524
AE,poi50,original,14.14122728,0.038536944
AE,poi50,denoised,27.19073068,0.001909532
AE,poi50,original,14.12608112,0.038671577
AE,poi50,denoised,27.46612987,0.001792202
AE,poi50,original,14.15816392,0.03838695
AE,poi50,denoised,29.0152242,0.00125452
AE,poi50,original,14.1292412,0.038643449
AE,poi50,denoised,29.76039722,0.001056721
AE,poi50,original,14.17310704,0.038255096
AE,poi50,denoised,30.14697009,0.000966725
AE,poi50,original,14.15254797,0.038436621
AE,poi50,denoised,30.73642661,0.000844029
AE,poi50,original,14.12577755,0.038674281
AE,poi50,denoised,26.5800711,0.002197824
AE,poi50,original,14.26854001,0.037423638
AE,poi50,denoised,29.48615749,0.0011256
AE,poi50,original,14.21932777,0.037850117
AE,poi50,denoised,30.23971065,0.0009463
AE,poi50,original,14.26855724,0.037423489
AE,poi50,denoised,30.79223515,0.000833252
AE,poi50,original,14.27752137,0.037346324
AE,poi50,denoised,30.94774659,0.000803943
AE,poi50,original,14.30023411,0.03715152
AE,poi50,denoised,31.03587432,0.000787794
AE,poi50,original,14.31725714,0.037006182
AE,poi50,denoised,30.76976332,0.000837575
AE,poi50,original,14.33384321,0.036865122
AE,poi50,denoised,30.45780795,0.000899952
AE,poi50,original,14.26750667,0.037432543
AE,poi50,denoised,30.89407191,0.000813941
AE,poi50,original,14.30234972,0.037133427
AE,poi50,denoised,30.6853299,0.000854018
AE,poi50,original,14.31088137,0.03706055
AE,poi50,denoised,30.23203055,0.000947975
AE,poi50,original,14.19185793,0.038090284
AE,poi50,denoised,26.41246477,0.002284302
AE,poi50,original,14.27823511,0.037340187
AE,poi50,denoised,29.56969917,0.001104155
AE,poi50,original,14.07224219,0.039153968
AE,poi50,denoised,27.75990583,0.001674979
AE,poi50,original,14.14350392,0.038516748
AE,poi50,denoised,28.9922538,0.001261173
AE,poi50,original,14.12083721,0.0387183
AE,poi50,denoised,30.3655219,0.00091928
AE,poi50,original,14.1472857,0.038483222
AE,poi50,denoised,30.30107308,0.000933024
AE,poi50,original,14.17447438,0.038243054
AE,poi50,denoised,30.54650235,0.000881759
AE,poi50,original,14.21834123,0.037858716
AE,poi50,denoised,30.25543937,0.000942879
AE,poi50,original,14.21659745,0.03787392
AE,poi50,denoised,29.51469927,0.001118227
AE,poi50,original,14.12245566,0.038703874
AE,poi50,denoised,29.12206006,0.001224035
AE,poi50,original,14.19884289,0.038029071
AE,poi50,denoised,29.3325447,0.001166126
AE,poi50,original,14.20988184,0.037932531
AE,poi50,denoised,29.21514529,0.001198079
AE,poi50,original,14.21603852,0.037878794
AE,poi50,denoised,29.54233429,0.001111134
AE,poi50,original,14.18272896,0.038170435
AE,poi50,denoised,29.40897109,0.001145784
AE,poi50,original,14.22880733,0.03776759
AE,poi50,denoised,30.4200274,0.000907815
AE,poi50,original,14.25388346,0.037550148
AE,poi50,denoised,31.28885464,0.000743215
AE,poi50,original,14.25631433,0.037529136
AE,poi50,denoised,31.4427028,0.000717348
AE,poi50,original,14.21962302,0.037847544
AE,poi50,denoised,31.71187887,0.000674236
AE,poi50,original,14.2185218,0.037857142
AE,poi50,denoised,31.94204119,0.000639434
AE,poi50,original,14.2484779,0.037596915
AE,poi50,denoised,31.26452854,0.00074739
AE,poi50,original,14.10679017,0.038843735
AE,poi50,denoised,28.13276254,0.001537177
AE,poi50,original,14.27013018,0.037409937
AE,poi50,denoised,31.54235052,0.000701076
AE,poi50,original,14.13738799,0.038571027
AE,poi50,denoised,28.19770044,0.001514363
AE,poi50,original,14.13180425,0.03862065
AE,poi50,denoised,30.020422,0.000995309
AE,poi50,original,14.1686907,0.038294017
AE,poi50,denoised,29.64111864,0.001086146
AE,poi50,original,14.17374018,0.038249519
AE,poi50,denoised,28.57269812,0.001389089
AE,poi50,original,14.11566193,0.038764466
AE,poi50,denoised,29.5121463,0.001118885
AE,poi50,original,14.08122236,0.039073091
AE,poi50,denoised,29.43533966,0.001138849
AE,poi50,original,14.05585056,0.039302026
AE,poi50,denoised,28.90330939,0.001287268
AE,poi50,original,14.06588932,0.039211284
AE,poi50,denoised,26.58897835,0.002193321
AE,poi50,original,14.16187604,0.038354153
AE,poi50,denoised,28.46388244,0.001424334
AE,poi50,original,14.13387482,0.038602241
AE,poi50,denoised,28.7541344,0.001332253
AE,poi50,original,14.09075426,0.038987427
AE,poi50,denoised,29.99555145,0.001001025
AE,poi50,original,14.15142461,0.038446565
AE,poi50,denoised,30.25079489,0.000943888
AE,poi50,original,14.10549091,0.038855358
AE,poi50,denoised,30.89467634,0.000813828
AE,poi50,original,14.09996231,0.038904852
AE,poi50,denoised,31.6336836,0.000686486
AE,poi50,original,14.14811786,0.038475849
AE,poi50,denoised,32.73146455,0.000533155
AE,poi50,original,14.13304902,0.038609582
AE,poi50,denoised,33.59569104,0.000436949
AE,poi50,original,14.17392995,0.038247848
AE,poi50,denoised,34.17589821,0.000382305
AE,poi50,original,14.15837254,0.038385106
AE,poi50,denoised,33.6801503,0.000428534
AE,poi50,original,14.1174516,0.038748495
AE,poi50,denoised,27.982813,0.001591178
AE,poi50,original,14.06537057,0.039215968
AE,poi50,denoised,35.06314721,0.000311663
AE,poi50,original,14.05511437,0.039308689
AE,poi50,denoised,28.2313614,0.001502671
AE,poi50,original,14.1289798,0.038645775
AE,poi50,denoised,28.43318736,0.001434436
AE,poi50,original,14.13898985,0.038556803
AE,poi50,denoised,29.86744056,0.001030994
AE,poi50,original,14.14008379,0.038547092
AE,poi50,denoised,29.96136863,0.001008935
AE,poi50,original,14.12606542,0.038671717
AE,poi50,denoised,29.83922859,0.001037713
AE,poi50,original,14.19071879,0.038100276
AE,poi50,denoised,29.30947628,0.001172337
AE,poi50,original,14.16261379,0.038347638
AE,poi50,denoised,28.49739463,0.001413385
AE,poiimg,original,48.51101912,1.41E-05
