model,noise,type,PSNR,MSE
DnCNN,gau50,denoised,27.48266831,0.00178539
DnCNN,gau50,original,15.86297091,0.025924054
DnCNN,gau50,denoised,28.05110552,0.001566352
DnCNN,gau50,original,15.96771804,0.025306273
DnCNN,gau50,denoised,28.4385938,0.001432652
DnCNN,gau50,original,15.62616922,0.027376825
DnCNN,gau50,denoised,26.0063643,0.002508208
DnCNN,gau50,original,16.17467299,0.024128632
DnCNN,gau50,denoised,28.27759006,0.00148676
DnCNN,gau50,original,15.74521724,0.026636569
DnCNN,gau50,denoised,26.14541846,0.002429171
DnCNN,gau50,original,15.74365702,0.02664614
DnCNN,gau50,denoised,26.37017552,0.002306654
DnCNN,gau50,original,15.65111902,0.027219999
DnCNN,gau50,denoised,26.66057792,0.002157457
DnCNN,gau50,original,15.5463114,0.027884885
DnCNN,gau50,denoised,27.23705772,0.001889271
DnCNN,gau50,original,15.49227416,0.028234011
DnCNN,gau50,denoised,27.61316052,0.001732543
DnCNN,gau50,original,15.4704371,0.028376334
DnCNN,gau50,denoised,27.69866734,0.001698765
DnCNN,gau50,original,15.52094357,0.028048242
DnCNN,gau50,denoised,27.88786075,0.00162635
DnCNN,gau50,original,15.60118143,0.027534796
DnCNN,gau50,denoised,27.36224321,0.00183559
DnCNN,gau50,original,15.28214691,0.029633661
DnCNN,gau50,denoised,27.32392069,0.001851859
DnCNN,gau50,original,15.32541187,0.029339912
DnCNN,gau50,denoised,27.17090271,0.00191827
DnCNN,gau50,original,15.31269926,0.029425922
DnCNN,gau50,denoised,27.9543757,0.001601631
DnCNN,gau50,original,15.31891862,0.029383812
DnCNN,gau50,denoised,27.8246084,0.00165021
DnCNN,gau50,original,15.38739031,0.028924174
DnCNN,gau50,denoised,28.00549346,0.00158289
DnCNN,gau50,original,15.3379298,0.029255466
DnCNN,gau50,denoised,27.29075601,0.001866055
DnCNN,gau50,original,15.39713051,0.028859377
DnCNN,gau50,denoised,27.63707359,0.001723029
DnCNN,gau50,original,15.45484446,0.028478398
DnCNN,gau50,denoised,27.67030145,0.001709897
DnCNN,gau50,original,15.49440577,0.028220157
DnCNN,gau50,denoised,28.08964058,0.001552515
DnCNN,gau50,original,15.58608964,0.027630646
DnCNN,gau50,denoised,27.9379908,0.001607685
DnCNN,gau50,original,15.67708343,0.027057749
DnCNN,gau50,denoised,27.12888104,0.001936921
DnCNN,gau50,original,15.67738837,0.027055849
DnCNN,gau50,denoised,27.7327744,0.001685476
DnCNN,gau50,original,15.55830143,0.027808007
DnCNN,gau50,denoised,27.10567253,0.001947299
DnCNN,gau50,original,15.62435271,0.027388278
DnCNN,gau50,denoised,27.59815224,0.00173854
DnCNN,gau50,original,15.50241425,0.028168166
DnCNN,gau50,denoised,27.43955282,0.001803203
DnCNN,gau50,original,15.48575005,0.028276457
DnCNN,gau50,denoised,27.02511265,0.001983758
DnCNN,gau50,original,15.55136262,0.027852471
DnCNN,gau50,denoised,27.13096894,0.00193599
DnCNN,gau50,original,15.54529865,0.027891389
DnCNN,gau50,denoised,26.89885906,0.002042274
DnCNN,gau50,original,15.45937916,0.028448678
DnCNN,gau50,denoised,27.33798217,0.001845873
DnCNN,gau50,original,15.60874226,0.027486901
DnCNN,gau50,denoised,26.52600246,0.002225357
DnCNN,gau50,original,15.38182047,0.028961293
DnCNN,gau50,denoised,27.79757819,0.001660513
DnCNN,gau50,original,15.28766726,0.029596017
DnCNN,gau50,denoised,27.71566027,0.001692131
DnCNN,gau50,original,15.38385438,0.028947733
DnCNN,gau50,denoised,28.15757897,0.001528418
DnCNN,gau50,original,15.41211233,0.028759992
DnCNN,gau50,denoised,28.62582706,0.0013722
DnCNN,gau50,original,15.40906066,0.028780208
DnCNN,gau50,denoised,28.71996645,0.001342775
DnCNN,gau50,original,15.49527237,0.028214526
DnCNN,gau50,denoised,29.1026997,0.001229504
DnCNN,gau50,original,15.59491777,0.027574537
DnCNN,gau50,denoised,28.97286565,0.001266816
DnCNN,gau50,original,15.67304738,0.027082906
DnCNN,gau50,denoised,29.15911532,0.001213636
DnCNN,gau50,original,15.77110571,0.026478259
DnCNN,gau50,denoised,28.48569985,0.001417196
DnCNN,gau50,original,15.9456625,0.025435118
DnCNN,gau50,denoised,28.73784398,0.001337259
DnCNN,gau50,original,15.60476209,0.027512103
DnCNN,gau50,denoised,26.67605192,0.002149784
DnCNN,gau50,original,16.01594424,0.025026815
DnCNN,gau50,denoised,29.77713937,0.001052655
DnCNN,gau50,original,15.54915629,0.027866625
DnCNN,gau50,denoised,26.87802972,0.002052093
DnCNN,gau50,original,15.39434077,0.028877921
DnCNN,gau50,denoised,27.11056738,0.001945106
DnCNN,gau50,original,15.43011851,0.028640998
DnCNN,gau50,denoised,27.75866339,0.001675458
DnCNN,gau50,original,15.3090861,0.029450413
DnCNN,gau50,denoised,27.82314727,0.001650765
DnCNN,gau50,original,15.29658326,0.02953532
DnCNN,gau50,denoised,27.95543549,0.00160124
DnCNN,gau50,original,15.30480229,0.029479477
DnCNN,gau50,denoised,27.7388039,0.001683138
DnCNN,gau50,original,15.25965717,0.029787516
DnCNN,gau50,denoised,27.70847207,0.001694934
DnCNN,poi50,original,14.07723955,0.03910894
DnCNN,poi50,denoised,28.17019933,0.001523983
DnCNN,poi50,original,14.186668,0.03813583
DnCNN,poi50,denoised,27.76892218,0.001671505
DnCNN,poi50,original,14.15029408,0.038456574
DnCNN,poi50,denoised,27.63707841,0.001723027
DnCNN,poi50,original,14.20995816,0.037931864
DnCNN,poi50,denoised,27.65228584,0.001717004
DnCNN,poi50,original,14.20364085,0.03798708
DnCNN,poi50,denoised,27.69358943,0.001700752
DnCNN,poi50,original,14.2131576,0.03790393
DnCNN,poi50,denoised,27.49193239,0.001781586
DnCNN,poi50,original,14.23452037,0.03771794
DnCNN,poi50,denoised,27.58972775,0.001741916
DnCNN,poi50,original,14.19300574,0.038080218
DnCNN,poi50,denoised,27.00114137,0.001994738
DnCNN,poi50,original,14.222519,0.037822314
DnCNN,poi50,denoised,26.87017393,0.002055808
DnCNN,poi50,original,14.20934555,0.037937215
DnCNN,poi50,denoised,27.40528937,0.001817486
DnCNN,poi50,original,14.19132534,0.038094955
DnCNN,poi50,denoised,27.62480894,0.001727902
DnCNN,poi50,original,14.09401203,0.038958192
DnCNN,poi50,denoised,28.34885875,0.001462561
DnCNN,poi50,original,14.1557108,0.038408639
DnCNN,poi50,denoised,27.97289913,0.001594814
DnCNN,poi50,original,14.06394113,0.039228878
DnCNN,poi50,denoised,28.19599152,0.001514959
DnCNN,poi50,original,14.13462269,0.038595594
DnCNN,poi50,denoised,27.85312236,0.001639411
DnCNN,poi50,original,14.12173753,0.038710274
DnCNN,poi50,denoised,27.94922863,0.00160353
DnCNN,poi50,original,14.13508096,0.038591522
DnCNN,poi50,denoised,27.97950838,0.001592389
DnCNN,poi50,original,14.09981112,0.038906207
DnCNN,poi50,denoised,28.01664075,0.001578832
DnCNN,poi50,original,14.17451527,0.038242694
DnCNN,poi50,denoised,27.85354258,0.001639252
DnCNN,poi50,original,14.1879546,0.038124534
DnCNN,poi50,denoised,27.81556078,0.001653651
DnCNN,poi50,original,14.14166291,0.038533079
DnCNN,poi50,denoised,27.84736026,0.001641587
DnCNN,poi50,original,14.19040468,0.038103032
DnCNN,poi50,denoised,27.66860167,0.001710566
DnCNN,poi50,original,14.19078249,0.038099717
DnCNN,poi50,denoised,27.61703667,0.001730997
DnCNN,poi50,original,14.19996496,0.038019246
DnCNN,poi50,denoised,27.69505627,0.001700178
DnCNN,poi50,original,14.2072851,0.037955218
DnCNN,poi50,denoised,27.71844369,0.001691047
DnCNN,poi50,original,14.18211572,0.038175825
DnCNN,poi50,denoised,27.64314302,0.001720623
DnCNN,poi50,original,14.1814794,0.038181419
DnCNN,poi50,denoised,27.66322578,0.001712685
DnCNN,poi50,original,14.20987556,0.037932585
DnCNN,poi50,denoised,27.87212095,0.001632255
DnCNN,poi50,original,14.18550683,0.038146027
DnCNN,poi50,denoised,27.97389,0.00159445
DnCNN,poi50,original,14.18601464,0.038141567
DnCNN,poi50,denoised,28.00645662,0.001582539
DnCNN,poi50,original,14.19133016,0.038094913
DnCNN,poi50,denoised,28.10159607,0.001548248
DnCNN,poi50,original,14.15128938,0.038447762
DnCNN,poi50,denoised,27.78108003,0.001666833
DnCNN,poi50,original,14.24932203,0.037589608
DnCNN,poi50,denoised,27.89757508,0.001622716
DnCNN,poi50,original,14.08871543,0.039005734
DnCNN,poi50,denoised,27.97585437,0.001593729
DnCNN,poi50,original,14.14122728,0.038536944
DnCNN,poi50,denoised,28.11440033,0.00154369
DnCNN,poi50,original,14.12608112,0.038671577
DnCNN,poi50,denoised,27.7658888,0.001672673
DnCNN,poi50,original,14.15816392,0.03838695
DnCNN,poi50,denoised,27.84574194,0.001642199
DnCNN,poi50,original,14.1292412,0.038643449
DnCNN,poi50,denoised,27.86883417,0.00163349
DnCNN,poi50,original,14.17310704,0.038255096
DnCNN,poi50,denoised,27.96094182,0.001599211
DnCNN,poi50,original,14.15254797,0.038436621
DnCNN,poi50,denoised,27.74680262,0.00168004
DnCNN,poi50,original,14.12577755,0.038674281
DnCNN,poi50,denoised,28.03662837,0.001571582
DnCNN,poi50,original,14.26854001,0.037423638
DnCNN,poi50,denoised,27.15946107,0.00192333
DnCNN,poi50,original,14.21932777,0.037850117
DnCNN,poi50,denoised,27.18384961,0.00191256
DnCNN,poi50,original,14.26855724,0.037423489
DnCNN,poi50,denoised,27.0038006,0.001993517
DnCNN,poi50,original,14.27752137,0.037346324
DnCNN,poi50,denoised,26.90238243,0.002040618
DnCNN,poi50,original,14.30023411,0.03715152
DnCNN,poi50,denoised,27.15190841,0.001926678
DnCNN,poi50,original,14.31725714,0.037006182
DnCNN,poi50,denoised,27.25758311,0.001880363
DnCNN,poi50,original,14.33384321,0.036865122
DnCNN,poi50,denoised,27.04840604,0.001973147
DnCNN,poi50,original,14.26750667,0.037432543
DnCNN,poi50,denoised,27.42059665,0.001811091
DnCNN,poi50,original,14.30234972,0.037133427
DnCNN,poi50,denoised,27.39744075,0.001820774
DnCNN,poi50,original,14.31088137,0.03706055
DnCNN,poi50,denoised,27.42682054,0.001808498
DnCNN,poi50,original,14.19185793,0.038090284
DnCNN,poi50,denoised,27.81158901,0.001655164
DnCNN,poi50,original,14.27823511,0.037340187
DnCNN,poi50,denoised,27.34495955,0.00184291
DnCNN,poi50,original,14.07224219,0.039153968
DnCNN,poi50,denoised,27.84899292,0.00164097
DnCNN,poi50,original,14.14350392,0.038516748
DnCNN,poi50,denoised,28.05266865,0.001565789
DnCNN,poi50,original,14.12083721,0.0387183
DnCNN,poi50,denoised,27.96560557,0.001597495
DnCNN,poi50,original,14.1472857,0.038483222
DnCNN,poi50,denoised,27.66405274,0.001712359
DnCNN,poi50,original,14.17447438,0.038243054
DnCNN,poi50,denoised,27.70797396,0.001695128
DnCNN,poi50,original,14.21834123,0.037858716
DnCNN,poi50,denoised,27.53688422,0.001763241
DnCNN,poi50,original,14.21659745,0.03787392
DnCNN,poi50,denoised,27.27593211,0.001872435
DnCNN,poi50,original,14.12245566,0.038703874
DnCNN,poi50,denoised,28.42293526,0.001437826
DnCNN,poi50,original,14.19884289,0.038029071
DnCNN,poi50,denoised,28.1021593,0.001548047
DnCNN,poi50,original,14.20988184,0.037932531
DnCNN,poi50,denoised,27.60361979,0.001736353
DnCNN,poi50,original,14.21603852,0.037878794
DnCNN,poi50,denoised,27.63648687,0.001723262
DnCNN,poi50,original,14.18272896,0.038170435
DnCNN,poi50,denoised,27.47294885,0.00178939
DnCNN,poi50,original,14.22880733,0.03776759
DnCNN,poi50,denoised,27.39846668,0.001820343
DnCNN,poi50,original,14.25388346,0.037550148
DnCNN,poi50,denoised,27.31826005,0.001854274
DnCNN,poi50,original,14.25631433,0.037529136
DnCNN,poi50,denoised,27.42655304,0.001808609
DnCNN,poi50,original,14.21962302,0.037847544
DnCNN,poi50,denoised,27.31895627,0.001853977
DnCNN,poi50,original,14.2185218,0.037857142
DnCNN,poi50,denoised,27.45853672,0.001795338
DnCNN,poi50,original,14.2484779,0.037596915
DnCNN,poi50,denoised,27.17627493,0.001915899
DnCNN,poi50,original,14.10679017,0.038843735
DnCNN,poi50,denoised,28.11141324,0.001544752
DnCNN,poi50,original,14.27013018,0.037409937
DnCNN,poi50,denoised,27.2489783,0.001884092
DnCNN,poi50,original,14.13738799,0.038571027
DnCNN,poi50,denoised,28.01436267,0.00157966
DnCNN,poi50,original,14.13180425,0.03862065
DnCNN,poi50,denoised,28.38743843,0.001449627
DnCNN,poi50,original,14.1686907,0.038294017
DnCNN,poi50,denoised,28.04818737,0.001567405
DnCNN,poi50,original,14.17374018,0.038249519
DnCNN,poi50,denoised,27.88814295,0.001626244
DnCNN,poi50,original,14.11566193,0.038764466
DnCNN,poi50,denoised,28.27206571,0.001488653
DnCNN,poi50,original,14.08122236,0.039073091
